110000,北京市,东城区
110000,北京市,西城区
110000,北京市,朝阳区
110000,北京市,丰台区
110000,北京市,石景山区
110000,北京市,海淀区
110000,北京市,门头沟区
110000,北京市,房山区
110000,北京市,通州区
110000,北京市,顺义区
110000,北京市,昌平区
110000,北京市,大兴区
110000,北京市,怀柔区
110000,北京市,平谷区
110000,北京市,密云区
110000,北京市,延庆区
120000,天津市,和平区
120000,天津市,河东区
120000,天津市,河西区
120000,天津市,南开区
120000,天津市,河北区
120000,天津市,红桥区
120000,天津市,东丽区
120000,天津市,西青区
120000,天津市,津南区
120000,天津市,北辰区
120000,天津市,武清区
120000,天津市,宝坻区
120000,天津市,滨海新区
120000,天津市,宁河区
120000,天津市,静海区
120000,天津市,蓟州区
130000,河北省,石家庄市,长安区
130000,河北省,石家庄市,桥西区
130000,河北省,石家庄市,新华区
130000,河北省,石家庄市,井陉矿区
130000,河北省,石家庄市,裕华区
130000,河北省,石家庄市,藁城区
130000,河北省,石家庄市,鹿泉区
130000,河北省,石家庄市,栾城区
130000,河北省,石家庄市,井陉县
130000,河北省,石家庄市,正定县
130000,河北省,石家庄市,行唐县
130000,河北省,石家庄市,灵寿县
130000,河北省,石家庄市,高邑县
130000,河北省,石家庄市,深泽县
130000,河北省,石家庄市,赞皇县
130000,河北省,石家庄市,无极县
130000,河北省,石家庄市,平山县
130000,河北省,石家庄市,元氏县
130000,河北省,石家庄市,赵县
130000,河北省,石家庄市,辛集市
130000,河北省,石家庄市,晋州市
130000,河北省,石家庄市,新乐市
130000,河北省,唐山市,路南区
130000,河北省,唐山市,路北区
130000,河北省,唐山市,古冶区
130000,河北省,唐山市,开平区
130000,河北省,唐山市,丰南区
130000,河北省,唐山市,丰润区
130000,河北省,唐山市,曹妃甸区
130000,河北省,唐山市,滦南县
130000,河北省,唐山市,乐亭县
130000,河北省,唐山市,迁西县
130000,河北省,唐山市,玉田县
130000,河北省,唐山市,遵化市
130000,河北省,唐山市,迁安市
130000,河北省,唐山市,滦州市
130000,河北省,秦皇岛市,海港区
130000,河北省,秦皇岛市,山海关区
130000,河北省,秦皇岛市,北戴河区
130000,河北省,秦皇岛市,抚宁区
130000,河北省,秦皇岛市,青龙满族自治县
130000,河北省,秦皇岛市,昌黎县
